batch,idx,verdict,iters,wall_s,bash_s,llm_s,other_s,n_bash,bash_pct,exit_code,excluded,exclude_reason
bootstrap,1,PASS,20,373,17,354,0,16,0.046,0,no,
c1_warm,1,UNKNOWN,88,1393,91,1300,0,62,0.065,0,no,
c1_warm,2,UNKNOWN,97,1350,69,1279,0,64,0.051,0,no,
c1_warm,3,PASS,61,601,30,569,0,37,0.050,0,no,
c1_warm,4,UNKNOWN,92,1363,88,1272,1,55,0.065,0,no,
c1_warm,5,PASS,88,1307,53,1252,0,64,0.041,0,no,
c1_warm,6,PASS,66,843,59,781,0,39,0.070,0,no,
c1_warm,7,PASS,78,918,71,845,0,64,0.077,0,no,
c1_warm,8,PASS,97,1338,86,1250,0,67,0.064,0,no,
c1_warm,9,UNKNOWN,94,1450,127,1321,0,61,0.088,0,no,
c1_warm,10,FAIL,103,1432,149,1280,0,73,0.104,0,no,
c2_warm,1,PASS,54,506,33,470,0,35,0.065,0,no,
c2_warm,2,PASS,33,323,35,285,0,20,0.108,0,no,
c2_warm,3,PASS,28,183,43,138,0,18,0.235,0,no,
c2_warm,4,PASS,29,330,41,287,0,17,0.124,0,no,
c2_warm,5,UNKNOWN,141,1567,115,1449,0,88,0.073,0,no,
c2_warm,6,PASS,34,354,35,317,0,22,0.099,0,no,
c2_warm,7,PASS,30,359,33,323,0,18,0.092,0,no,
c2_warm,8,PASS,89,911,71,836,0,55,0.078,0,no,
c2_warm,9,PASS,34,265,26,237,0,23,0.098,0,no,
c2_warm,10,PASS,63,582,66,514,0,41,0.113,0,no,
c3_warm,1,PASS,91,616,49,563,1,56,0.080,0,no,
c3_warm,2,PASS,56,564,36,525,1,24,0.064,0,no,
c3_warm,3,UNKNOWN,92,1448,116,1328,1,42,0.080,0,no,
c3_warm,4,PASS,41,288,15,270,1,22,0.052,0,no,
c3_warm,5,ERROR,69,948,51,894,1,32,0.054,1,yes,config_corruption
c3_warm,6,PASS,42,366,23,340,1,19,0.063,0,no,
c3_warm,7,PASS,87,1063,56,1005,0,34,0.053,0,no,
c3_warm,8,PASS,38,343,16,323,1,20,0.047,0,no,
c3_warm,9,PASS,40,417,20,395,0,19,0.048,0,no,
c3_warm,10,ERROR,90,823,59,737,1,38,0.072,143,yes,manually_stopped
